Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100%;2541996;1156756;fr;01.07.2008
Lausanne 26;1000;26;126;Lausanne;5586;VD;100%;2543045;1156192;fr;01.07.2008
Lausanne 27;1000;27;127;Lausanne;5586;VD;100%;2541942;1154815;fr;01.07.2008
Lausanne;1003;00;150;Lausanne;5586;VD;100%;2538094;1152460;fr;01.07.2008
Lausanne;1004;00;151;Lausanne;5586;VD;100%;2537088;1153328;fr;01.07.2008
Lausanne;1005;00;152;Lausanne;5586;VD;100%;2538929;1152487;fr;01.07.2008
Lausanne;1006;00;153;Lausanne;5586;VD;100%;2538230;1151602;fr;01.07.2008
Lausanne;1007;00;154;Lausanne;5586;VD;100%;2536686;1152178;fr;01.07.2008
Prilly;1008;00;156;Prilly;5589;VD;100%;2536010;1154282;fr;01.07.2008
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100%;2535311;1155710;fr;01.07.2008
Pully;1009;00;157;Pully;5590;VD;100%;2540300;1151541;fr;01.07.2008
Lausanne;1010;00;158;Lausanne;5586;VD;100%;2539688;1154318;fr;01.07.2008
Lausanne;1011;00;159;Lausanne;5586;VD;100%;2539025;1152991;fr;01.07.2008
Lausanne;1012;00;160;Lausanne;5586;VD;100%;2539850;1153101;fr;01.07.2008
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.03%;2533092;1152410;fr;01.07.2008
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.33%;2534463;1152369;fr;01.07.2008
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.64%;2534446;1152760;fr;01.07.2008
Lausanne;1018;00;164;Lausanne;5586;VD;100%;2537924;1154078;fr;01.07.2008
Renens VD;1020;00;165;Renens (VD);5591;VD;100%;2534857;1154420;fr;01.07.2008
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100%;2533762;1153767;fr;01.07.2008
Crissier;1023;00;169;Crissier;5583;VD;99.15%;2533965;1156159;fr;01.07.2008
Crissier;1023;00;169;Lausanne;5586;VD;0.85%;2534893;1156767;fr;01.07.2008
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100%;2532574;1153012;fr;01.07.2008
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100%;2532756;1151656;fr;01.07.2008
Denges;1026;02;5854;Denges;5632;VD;100%;2531018;1152539;fr;01.07.2008
Echandens;1026;03;6230;Echandens;5633;VD;100%;2531210;1154207;fr;01.07.2008
Lonay;1027;00;174;Lonay;5638;VD;100%;2529446;1153217;fr;01.07.2008
Préverenges;1028;00;175;Préverenges;5643;VD;100%;2530177;1152033;fr;01.07.2008
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100%;2532911;1157712;fr;01.07.2008
Bussigny;1030;00;178;Bussigny;5624;VD;100%;2532240;1155984;fr;01.05.2014
Mex VD;1031;00;5614;Mex (VD);5489;VD;98.53%;2532735;1158780;fr;01.07.2008
Mex VD;1031;00;5614;Vufflens-la-Ville;5503;VD;1.47%;2531925;1157537;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Romanel-sur-Lausanne;5592;VD;80.85%;2535996;1157192;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Lausanne;5586;VD;19.15%;2536570.964;1158065.883;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Cheseaux-sur-Lausanne;5582;VD;92.49%;2536118;1159682;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Lausanne;5586;VD;6.66%;2536380;1158973;fr;01.07.2008
